ID,name,crop,system,gaez_name,gaez_code,gaez_crop,gaez_input,gaez_system,suit_variable,prod_variable
17,Pigeon Pea,pige,L,pigeonpea,pig,pigeonpea,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
18,Lentil,lent,L,chickpea,chk,chickpea,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
19,Other Pulses,opul,L,chickpea,chk,chickpea,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
20,Soybean,soyb,L,soybean,soy,soybean,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
21,Groundnut,grou,L,groundnut,grd,groundnut,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
22,Coconut,cnut,L,coconut,con,coconut,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
23,Oilpalm,oilp,L,oil palm,olp,oilpalm,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
24,Sunflower,sunf,L,sunflower,sfl,sunflower,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
25,Rapeseed,rape,L,rapeseed,rsd,rapeseed,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
26,Sesame Seed,sesa,L,rapeseed,rsd,rapeseed,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
27,Other Oil Crops,ooil,L,olive,olv,olive,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
28,Sugarcane,sugc,L,sugarcane,suc,sugarcane,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
29,Sugarbeet,sugb,L,sugar beet,sub,sugarbeet,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
30,Cotton,cott,L,cotton,cot,cotton,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
31,Other Fibre Crops,ofib,L,flax,flx,flax,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
,Coffee,coff,L,coffee,cof,coffee,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
34,Cocoa,coco,L,cocoa,coc,cocoa,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
35,Tea,teas,L,teas,tea,tea,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
36,Tobacco,toba,L,tobacco,tob,tobacco,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
37,Banana,bana,L,banana,ban,banana,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
38,Plantain,plnt,L,banana,ban,banana,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
39,Tropical Fruit,trof,L,banana,ban,banana,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
40,Temperate Fruit,temf,L,"maize, grain",mze,maize,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
41,Vegetables,vege,L,onion,oni,onion,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
42,Rest Of Crops,rest,L,"maize, grain",mze,maize,low,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
1,Wheat,whea,H,wheat,whe,wheat,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
2,Rice,rice,H,"rice, dry",rcd,drylandrice,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
